engine,timestamp,k,build_time_s,index_size_bytes,search_k,recall_at_k,precision_at_k,ndcg_at_k,p50_ms,p95_ms,p99_ms,qps_c1,qps_c8,search_ef,num_candidates,ef_search,hnsw_ef,ef_runtime,ef,sweep_param_name,sweep_param_value,sweep_rank
elasticsearch,2026-09-02T19:43:21.442761+00:00,10,7.343443300000217,24887850,,0.9964,0.8424,0.8490890958266303,50.10550000042713,59.707294998406724,60.75776400270115,19.7393234810756,153.26890776948375,,20.0,,,,,num_candidates,20.0,1
elasticsearch,2026-09-02T19:43:21.442761+00:00,10,7.343443300000217,24887850,,0.9977999999999999,0.8426000000000001,0.8491592691211978,50.05620000156341,59.89940999879764,60.5502669989437,19.315883184187637,142.03240128332223,,40.0,,,,,num_candidates,40.0,2
elasticsearch,2026-09-02T19:43:21.442761+00:00,10,7.343443300000217,24887850,,0.9992000000000001,0.8424,0.8490996412064358,50.05010000058974,59.19012500089593,60.47682099902886,19.702600476293533,150.62330181648295,,80.0,,,,,num_candidates,80.0,3
elasticsearch,2026-09-02T19:43:21.442761+00:00,10,7.343443300000217,24887850,,0.9996,0.8422000000000001,0.8489723996300379,50.07369999839284,50.72754000157147,59.9006160004501,19.707340475880166,153.6628695033727,,160.0,,,,,num_candidates,160.0,4
elasticsearch,2026-09-02T19:43:21.442761+00:00,10,7.343443300000217,24887850,,1.0,0.8422000000000001,0.8489723996300379,50.08970000017143,59.74494499769207,60.25655500081484,19.65942020437918,150.84063106566555,,320.0,,,,,num_candidates,320.0,5
faiss,2026-09-02T19:38:38.249695+00:00,10,0.30097530000057304,25728058,,0.8957999999999999,0.8424,0.8502255220576244,0.04620000072463881,0.06951500163268064,0.08090100120170973,18707.673891374136,12854.213932479279,,,10.0,,,,ef_search,10.0,1
faiss,2026-09-02T19:38:38.249695+00:00,10,0.30097530000057304,25728058,,0.9584000000000001,0.8430000000000001,0.8493235775577725,0.06500000017695129,0.10440499827382155,0.12127399884775507,6357.6024208332,5360.177099977494,,,20.0,,,,ef_search,20.0,2
faiss,2026-09-02T19:38:38.249695+00:00,10,0.30097530000057304,25728058,,0.9882000000000001,0.8426000000000001,0.8490559486360345,0.09809999755816534,0.17661999881966037,0.2710720021423182,13971.065919902017,13624.535063395204,,,40.0,,,,ef_search,40.0,3
faiss,2026-09-02T19:38:38.249695+00:00,10,0.30097530000057304,25728058,,0.9965999999999999,0.8422000000000001,0.8489726343012656,0.12239999887242448,0.18410500051686532,0.23121699967305173,7224.807097827651,12771.147421115023,,,80.0,,,,ef_search,80.0,4
faiss,2026-09-02T19:38:38.249695+00:00,10,0.30097530000057304,25728058,,0.9994000000000001,0.8422000000000001,0.8489877351943074,0.2153999994334299,0.32760499889263883,0.39380200090818107,4049.607694015023,10365.272192176491,,,160.0,,,,ef_search,160.0,5
pgvector,2026-09-02T18:42:54.049939+00:00,10,4.62866430000031,66723840,,0.9362,0.8436000000000001,0.851368471528893,0.5578500004048692,0.7047349999083963,0.7730809992972351,1734.8024797300714,1658.6209727602159,,,10.0,,,,ef_search,10.0,1
pgvector,2026-09-02T18:42:54.049939+00:00,10,4.62866430000031,66723840,,0.9742000000000001,0.8446,0.8509079398730344,0.6597000001420383,0.8733099995879456,1.069979999501811,1520.3032701102748,2200.1740337425426,,,20.0,,,,ef_search,20.0,2
pgvector,2026-09-02T18:42:54.049939+00:00,10,4.62866430000031,66723840,,0.9924000000000001,0.8434,0.8498410382069812,0.7768999994368642,0.9861250008725618,1.0980399988329737,1283.3049722858289,2578.652112788728,,,40.0,,,,ef_search,40.0,3
pgvector,2026-09-02T18:42:54.049939+00:00,10,4.62866430000031,66723840,,0.9987999999999999,0.8426000000000001,0.8492824396613037,0.9799499994187499,1.391929999499552,1.629538999732176,1035.1548953979975,2372.980297158482,,,80.0,,,,ef_search,80.0,4
pgvector,2026-09-02T18:42:54.049939+00:00,10,4.62866430000031,66723840,,0.9996,0.8424,0.8490996412064358,1.3488499989762204,1.7391050003425332,1.9656499999473451,764.33841542133,2076.9165266732675,,,160.0,,,,ef_search,160.0,5
qdrant,2026-09-02T19:35:25.145541+00:00,10,6.271982300000673,206016488,,0.9148000000000001,0.843,0.8509910397975341,15.535149999777786,27.31525000090187,28.13694000156829,64.66098632835912,482.4610919254707,,,,10.0,,,hnsw_ef,10.0,1
qdrant,2026-09-02T19:35:25.145541+00:00,10,6.271982300000673,206016488,,0.967,0.843,0.8501410162613988,15.56440000058501,26.897780000217608,27.767970000495552,67.85405840555137,464.50723446735424,,,,20.0,,,hnsw_ef,20.0,2
qdrant,2026-09-02T19:35:25.145541+00:00,10,6.271982300000673,206016488,,0.9904000000000001,0.8428000000000001,0.8494780711326162,15.424349998284015,27.024265001273307,28.49136600169004,65.0670686943936,426.4842451367031,,,,40.0,,,hnsw_ef,40.0,3
qdrant,2026-09-02T19:35:25.145541+00:00,10,6.271982300000673,206016488,,0.9977999999999999,0.8428000000000001,0.849590897537379,15.61145000050601,27.68070000220177,29.55320299704908,67.58254760451315,460.0172552464251,,,,80.0,,,hnsw_ef,80.0,4
qdrant,2026-09-02T19:35:25.145541+00:00,10,6.271982300000673,206016488,,0.9994000000000001,0.8428,0.8495036475945813,15.663549998862436,30.186340000727796,30.804619002774416,65.37590869656074,443.55762489857415,,,,160.0,,,hnsw_ef,160.0,5
redis,2026-09-02T19:15:26.444872+00:00,10,2.9920949999996083,28061288,,0.8894000000000001,0.8394000000000001,0.8477472438781708,0.9372499998789863,1.2230799991812087,1.8583730000864307,1063.4055562938836,2093.3333612444035,,,,,10.0,,ef_runtime,10.0,1
redis,2026-09-02T19:15:26.444872+00:00,10,2.9920949999996083,28061288,,0.9548000000000001,0.8438,0.8501970305752157,0.982099999419006,1.2937150007928717,2.620054000180971,981.9353356323323,1996.9905352616506,,,,,20.0,,ef_runtime,20.0,2
redis,2026-09-02T19:15:26.444872+00:00,10,2.9920949999996083,28061288,,0.9854,0.8426000000000001,0.8492928445694442,0.8103999998638756,0.9372749996146011,1.0459050004465098,1189.9527529366383,2222.2641983253807,,,,,40.0,,ef_runtime,40.0,3
redis,2026-09-02T19:15:26.444872+00:00,10,2.9920949999996083,28061288,,0.9972000000000001,0.842,0.8489108796078578,0.9280499998567393,1.1088499987636167,1.219982000675372,1077.7064036803679,2213.6308748251136,,,,,80.0,,ef_runtime,80.0,4
redis,2026-09-02T19:15:26.444872+00:00,10,2.9920949999996083,28061288,,0.9994000000000001,0.8426000000000001,0.8492564377443932,1.048649999574991,1.276149999739573,1.4232110004559217,781.5039887997611,1455.0650450478354,,,,,160.0,,ef_runtime,160.0,5
weaviate,2026-09-02T19:21:45.545961+00:00,10,1.9313195000013366,30777565,,0.8928,0.8383999999999999,0.8464023021887777,1.253250000445405,1.5558300004158803,44.16851900026812,306.57519484803385,1110.7346954585605,,,,,,10.0,ef,10.0,1
weaviate,2026-09-02T19:21:45.545961+00:00,10,1.9313195000013366,30777565,,0.9572,0.8428,0.8489289063373558,1.2597499999174033,1.6192149995731597,45.503458999792194,446.04266487169025,1102.8574485142663,,,,,,20.0,ef,20.0,2
weaviate,2026-09-02T19:21:45.545961+00:00,10,1.9313195000013366,30777565,,0.9864,0.8424,0.8491073399639888,1.2613500002771616,1.5386900001431054,1.6725790007876637,680.1208166631351,1168.7287912244592,,,,,,40.0,ef,40.0,3
weaviate,2026-09-02T19:21:45.545961+00:00,10,1.9313195000013366,30777565,,0.9972000000000001,0.842,0.8489108796078578,1.3431499992293539,1.5715149996140094,1.7964000001666134,693.8226540742111,1062.3532292525645,,,,,,80.0,ef,80.0,4
weaviate,2026-09-02T19:21:45.545961+00:00,10,1.9313195000013366,30777565,,0.9994000000000001,0.8426000000000001,0.8492564377443932,1.7477499995948165,2.140419999977894,2.2947300008308957,609.3433046275414,1196.0763910066767,,,,,,160.0,ef,160.0,5
